,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
23,90.01637,90.781456,-4.3126783,21.53343,4.2950025,12.476837,3.5919454,6.3490963,2.4486709,3.8410378,2.0700207,3.4009748,2.4333076,1
24,78.98829,98.285645,6.142646,32.73947,13.988815,18.88277,3.0203953,3.2046857,2.657248,7.9518547,3.2519677,-0.006447226,1.113276,1
25,130.0125,69.86155,-8.764305,15.06983,1.1066284,9.642275,-0.2782892,5.9399796,3.4096334,5.5503206,1.8443139,3.5812035,1.9129255,1
26,118.17293,81.287735,-10.4933815,12.373482,-2.1906486,9.392225,-0.169652,2.0431595,0.38065812,2.0427682,1.1446885,0.9100691,0.9878143,1
27,102.12125,89.72887,-7.725736,22.092087,5.461674,10.403288,1.0671195,3.9751065,4.5103054,4.0846066,1.5787661,2.586062,2.3055463,1
28,112.61885,87.52234,-11.812312,13.065075,0.6376084,10.090408,4.4332747,4.7475376,1.5913093,1.5172617,0.28783923,1.4760199,1.1900334,1
29,130.43515,64.30823,-12.369753,16.25708,-3.9181614,5.8796415,-0.82725424,1.7173378,-1.7734764,-0.07820011,-0.17588854,0.34359783,0.8470713,1
30,129.40802,78.46163,-16.151512,13.27887,-4.445231,7.0912085,0.14012,2.9083872,1.8273674,1.1651598,0.5485498,0.99162424,1.2838168,1
31,124.83743,71.62402,1.7816432,15.385672,-1.702023,13.668779,1.676832,8.380615,4.3096523,4.0174847,1.4351065,3.3147383,1.0727959,1
32,122.829254,61.853786,1.6301687,12.787233,0.63867885,14.962807,5.5604835,10.207813,2.4056668,6.496808,2.1388268,2.808364,1.2863501,1
33,119.37398,65.87861,-9.618391,17.447803,3.1683664,10.371988,0.9885105,5.274973,1.9800162,3.2568655,2.3627825,1.9346406,1.5893393,1
34,121.21416,81.09503,-14.016899,14.932564,-0.99483013,8.27065,1.437387,2.9559324,-0.37874722,1.7517393,0.68555796,1.9142402,0.4275294,1
35,129.50113,70.39053,-5.666109,11.719187,-3.0043607,12.1010895,3.0119305,7.411909,2.430416,4.1409926,1.7291591,0.86827505,1.4712718,1
